Step 32999 (66.0%) | train: 6.8977 | val: 6.8860 | ppl: 978.5 | tok/s: 620,070 | remaining steps: 17001s
Step 33249 (66.5%) | train: 6.8896 | val: 6.8961 | ppl: 988.4 | tok/s: 620,590 | remaining steps: 16751s
Step 33499 (67.0%) | train: 6.8936 | val: 6.8872 | ppl: 979.7 | tok/s: 620,563 | remaining steps: 16501s
Step 33749 (67.5%) | train: 6.8651 | val: 6.8892 | ppl: 981.6 | tok/s: 619,404 | remaining steps: 16251s
Step 33999 (68.0%) | train: 6.8610 | val: 6.8745 | ppl: 967.3 | tok/s: 620,279 | remaining steps: 16001s
Step 34249 (68.5%) | train: 6.8606 | val: 6.8605 | ppl: 953.9 | tok/s: 621,143 | remaining steps: 15751s
Step 34499 (69.0%) | train: 6.8518 | val: 6.8519 | ppl: 945.7 | tok/s: 620,225 | remaining steps: 15501s
Step 34749 (69.5%) | train: 6.8460 | val: 6.8550 | ppl: 948.6 | tok/s: 619,772 | remaining steps: 15251s
Step 34999 (70.0%) | train: 6.8433 | val: 6.8337 | ppl: 928.6 | tok/s: 621,272 | remaining steps: 15001s
Step 35249 (70.5%) | train: 6.8291 | val: 6.8395 | ppl: 934.0 | tok/s: 620,287 | remaining steps: 14751s
Step 35499 (71.0%) | train: 6.8221 | val: 6.8196 | ppl: 915.6 | tok/s: 619,464 | remaining steps: 14501s
Step 35749 (71.5%) | train: 6.8170 | val: 6.8251 | ppl: 920.6 | tok/s: 621,018 | remaining steps: 14251s
Step 35999 (72.0%) | train: 6.8132 | val: 6.8225 | ppl: 918.2 | tok/s: 621,024 | remaining steps: 14001s
Step 36249 (72.5%) | train: 6.8173 | val: 6.8079 | ppl: 904.9 | tok/s: 620,354 | remaining steps: 13751s
Step 36499 (73.0%) | train: 6.7986 | val: 6.8114 | ppl: 908.2 | tok/s: 621,063 | remaining steps: 13501s
Step 36749 (73.5%) | train: 6.8045 | val: 6.7957 | ppl: 894.0 | tok/s: 619,830 | remaining steps: 13251s
Step 36999 (74.0%) | train: 6.7972 | val: 6.8017 | ppl: 899.3 | tok/s: 621,632 | remaining steps: 13001s
Step 37249 (74.5%) | train: 6.7883 | val: 6.8059 | ppl: 903.2 | tok/s: 621,195 | remaining steps: 12751s
Step 37499 (75.0%) | train: 6.7923 | val: 6.7962 | ppl: 894.5 | tok/s: 620,290 | remaining steps: 12501s
Step 37749 (75.5%) | train: 6.7835 | val: 6.7927 | ppl: 891.3 | tok/s: 619,708 | remaining steps: 12251s
