optimizer      step     rankme         pr    alpha_req             lr
Adam          30400   212.4031    69.1187     0.538437   2.416908e-04
Adam          30800   211.4276    68.1645     0.536849   2.373708e-04
Adam          31200   215.1933    71.9122     0.536956   2.330508e-04
Adam          31600   208.2896    66.1651     0.540178   2.287308e-04
Adam          32000   210.6225    65.3729     0.534911   2.244108e-04
Adam          32400   213.5613    68.1181     0.534494   2.200908e-04
Adam          32800   216.3455    71.2549     0.531358   2.157708e-04
Adam          33200   210.7527    67.8331     0.539026   2.114508e-04
Adam          33600   208.7558    63.9885     0.535346   2.071308e-04
Adam          34000   210.5855    66.9235     0.536159   2.028108e-04
Adam          34400   209.3445    65.6316     0.536404   1.984908e-04
Adam          34800   213.7232    67.1366     0.532800   1.941708e-04
Adam          35200   207.7335    63.7748     0.535340   1.898508e-04
Adam          35600   209.5490    67.3542     0.538089   1.855308e-04
Adam          36000   209.7677    65.2620     0.533950   1.812108e-04
Adam          36400   210.0463    66.6277     0.535744   1.768908e-04
Adam          36800   209.7070    64.8409     0.534104   1.725708e-04
Adam          37200   216.4040    69.9989     0.532006   1.682508e-04
Adam          37600   207.2164    64.3923     0.536030   1.639308e-04
Adam          38000   212.3469    67.8507     0.533459   1.596108e-04
Adam          38400   212.8424    67.6078     0.532825   1.552908e-04
Adam          38800   212.8872    67.1763     0.533238   1.509708e-04
Adam          39200   208.2048    65.4760     0.535660   1.466508e-04
Adam          39600   209.8764    66.6342     0.535586   1.423308e-04
Adam          40000   203.3428    60.3132     0.537650   1.380108e-04
Adam          40400   209.4691    65.0703     0.534460   1.336908e-04
Adam          40800   206.5760    64.1526     0.538002   1.293708e-04
Adam          41200   210.3118    65.3477     0.533247   1.250508e-04
Adam          41600   206.7821    62.1327     0.533636   1.207308e-04
Adam          42000   205.6377    62.4089     0.536731   1.164108e-04
Adam          42400   214.9028    69.4452     0.532077   1.120908e-04
Adam          42800   210.7855    65.7714     0.532271   1.077708e-04
Adam          43200   210.2689    67.1336     0.535273   1.034508e-04
Adam          43600   207.1843    64.4533     0.535978   9.913080e-05
Adam          44000   205.2058    63.4663     0.537012   9.481080e-05
Adam          44400   209.5323    65.7011     0.532236   9.049080e-05
Adam          44800   206.3128    62.1975     0.533929   8.617080e-05
Adam          45200   207.7523    65.7971     0.536755   8.185080e-05
Adam          45600   208.4138    64.3014     0.532291   7.753080e-05
Adam          46000   208.7917    63.4809     0.531039   7.321080e-05
Adam          46400   208.5929    64.5528     0.534204   6.889080e-05
Adam          46800   207.5772    63.9173     0.535278   6.457080e-05
Adam          47200   207.2539    65.6845     0.536373   6.025080e-05
Adam          47600   213.8296    68.0841     0.531024   5.593080e-05
Adam          48000   206.5703    63.4467     0.536990   5.161080e-05
Adam          48400   208.1516    64.4304     0.534352   4.729080e-05
Adam          48800   213.1444    68.2733     0.531658   4.297080e-05
Adam          49200   210.5011    67.5602     0.535624   3.865080e-05
Adam          49600   214.8212    70.2340     0.530768   3.433080e-05
Adam          50000   212.1592    64.5310     0.528377   3.001080e-05
Muon            400     9.1519     4.9106     1.221280   3.192000e-03
Muon            800    68.6826    33.5597     1.075094   6.392000e-03
Muon           1200   126.5518    63.0437     0.908486   9.592000e-03
Muon           1600   165.8734    82.0294     0.799425   1.279200e-02
Muon           2000   196.0471   102.6487     0.728658   1.599200e-02
Muon           2400   212.0066   109.3195     0.677517   1.919200e-02
Muon           2800   226.5321   115.5398     0.640227   2.000000e-02
Muon           3200   239.7666   123.9785     0.611380   2.000000e-02
Muon           3600   241.9803   119.7317     0.594758   2.000000e-02
Muon           4000   232.3792   109.0260     0.599529   2.000000e-02
Muon           4400   239.7668   112.6983     0.583617   2.000000e-02
Muon           4800   243.9609   117.7289     0.574731   2.000000e-02
Muon           5200   246.0049   118.0512     0.566971   2.000000e-02
Muon           5600   246.9328   117.7339     0.561621   2.000000e-02
Muon           6000   246.2400   113.7523     0.557322   2.000000e-02
Muon           6400   242.0744   107.8784     0.555212   2.000000e-02
Muon           6800   250.1110   114.3389     0.546616   2.000000e-02
Muon           7200   239.4313   104.9154     0.555007   2.000000e-02
Muon           7600   239.3313   102.8114     0.549321   2.000000e-02
Muon           8000   247.2067   110.3557     0.545779   2.000000e-02
Muon           8400   247.6851   111.7751     0.544912   2.000000e-02
Muon           8800   243.5001   106.6215     0.544428   2.000000e-02
Muon           9200   246.0176   109.6329     0.542487   2.000000e-02
Muon           9600   245.5053   108.2668     0.543973   2.000000e-02
Muon          10000   241.6619   102.6591     0.542745   2.000000e-02
Muon          10400   245.3853   105.4503     0.537176   2.000000e-02
Muon          10800   247.2887   108.3658     0.537915   2.000000e-02
Muon          11200   236.3344    99.1548     0.548170   2.000000e-02
Muon          11600   240.6783   103.7804     0.544791   2.000000e-02
Muon          12000   236.4866    99.7613     0.547985   2.000000e-02
Muon          12400   247.1304   110.1326     0.539423   2.000000e-02
Muon          12800   239.8380   100.9942     0.541693   2.000000e-02
Muon          13200   245.8182   108.8076     0.539336   2.000000e-02
Muon          13600   235.6268    98.2238     0.546504   2.000000e-02
Muon          14000   247.4363   112.3095     0.539002   2.000000e-02
Muon          14400   241.4273   104.7835     0.542582   2.000000e-02
Muon          14800   236.7793   101.9342     0.546600   2.000000e-02
Muon          15200   233.9303    98.9262     0.552564   2.000000e-02
Muon          15600   238.4060    99.9668     0.545504   2.000000e-02
Muon          16000   233.1771    96.2772     0.549800   2.000000e-02
Muon          16400   233.9729   101.4218     0.552578   2.000000e-02
Muon          16800   240.2011   102.7708     0.545465   2.000000e-02
Muon          17200   231.5554    93.9127     0.546069   2.000000e-02
Muon          17600   231.6507    94.7903     0.549221   2.000000e-02
Muon          18000   229.1352    93.5047     0.550935   2.000000e-02
Muon          18400   231.4274    95.4794     0.551882   2.000000e-02
Muon          18800   232.5138    96.1761     0.548169   2.000000e-02
Muon          19200   232.8620    95.1564     0.548978   2.000000e-02
Muon          19600   236.8370   101.6151     0.550191   2.000000e-02
Muon          20000   232.5242    97.3229     0.548921   2.000000e-02
Muon          20400   224.7783    87.8082     0.550894   2.000000e-02
Muon          20800   222.7274    87.9153     0.557716   2.000000e-02
Muon          21200   232.3536   100.2846     0.554983   2.000000e-02
Muon          21600   232.5827    99.7256     0.552943   2.000000e-02
Muon          22000   235.9134    98.3731     0.544691   2.000000e-02
Muon          22400   228.0514    93.7407     0.553839   2.000000e-02
Muon          22800   227.5025    92.1567     0.553732   2.000000e-02
Muon          23200   224.7742    87.3334     0.551688   2.000000e-02
Muon          23600   228.6853    94.8239     0.554167   2.000000e-02
Muon          24000   234.7421   100.1834     0.551549   2.000000e-02
Muon          24400   232.0061    97.4175     0.553985   2.000000e-02
Muon          24800   225.4725    89.7768     0.549725   2.000000e-02
Muon          25200   238.7304   102.7214     0.545516   1.985672e-02
Muon          25600   232.3497    94.6706     0.549256   1.956872e-02
Muon          26000   231.4762    95.3696     0.551715   1.928072e-02
Muon          26400   231.3001    95.9850     0.550750   1.899272e-02
Muon          26800   226.4907    90.6278     0.551750   1.870472e-02
Muon          27200   232.4227    97.1935     0.550729   1.841672e-02
Muon          27600   231.3271    95.3329     0.547735   1.812872e-02
Muon          28000   231.4032    96.0620     0.550891   1.784072e-02
Muon          28400   231.7178    94.3701     0.547321   1.755272e-02
Muon          28800   233.8351    93.6063     0.542595   1.726472e-02
Muon          29200   236.9689   100.4074     0.543686   1.697672e-02
Muon          29600   234.3644    94.7546     0.542494   1.668872e-02
Muon          30000   234.4032    93.3383     0.540541   1.640072e-02
Muon          30400   228.4978    89.6910     0.544974   1.611272e-02
Muon          30800   233.9554    95.3796     0.544152   1.582472e-02
Muon          31200   229.8961    92.1638     0.545983   1.553672e-02
Muon          31600   237.4111   101.3479     0.544330   1.524872e-02
Muon          32000   233.2103    92.6435     0.539265   1.496072e-02
Muon          32400   242.0092   100.6925     0.536462   1.467272e-02
Muon          32800   232.0958    91.3133     0.544496   1.438472e-02
Muon          33200   232.1863    89.8403     0.539624   1.409672e-02
Muon          33600   237.8591    95.0363     0.533700   1.380872e-02
Muon          34000   234.0028    94.6448     0.540646   1.352072e-02
Muon          34400   238.1798   100.4348     0.539923   1.323272e-02
Muon          34800   239.7187    98.6287     0.535768   1.294472e-02
Muon          35200   235.9604    94.1215     0.536821   1.265672e-02
Muon          35600   239.1298    93.1713     0.529690   1.236872e-02
Muon          36000   237.3290    93.8053     0.536136   1.208072e-02
Muon          36400   239.1328    97.3883     0.534662   1.179272e-02
Muon          36800   236.7499    94.8392     0.536408   1.150472e-02
Muon          37200   237.2181    95.5474     0.535090   1.121672e-02
Muon          37600   244.1922   100.8961     0.528306   1.092872e-02
Muon          38000   238.6208    98.1101     0.535402   1.064072e-02
Muon          38400   245.8565   102.5185     0.525183   1.035272e-02
Muon          38800   243.4783    98.7033     0.524602   1.006472e-02
Muon          39200   246.9672   103.8980     0.526510   9.776720e-03
Muon          39600   236.5437    89.4014     0.526025   9.488720e-03
Muon          40000   249.8028   103.3624     0.519456   9.200720e-03
Muon          40400   237.7722    90.9704     0.525454   8.912720e-03
Muon          40800   245.3683    98.5863     0.521578   8.624720e-03
Muon          41200   243.9335    98.6187     0.525483   8.336720e-03
Muon          41600   248.2431   101.2728     0.519206   8.048720e-03
Muon          42000   249.1255   103.6002     0.519939   7.760720e-03
Muon          42400   248.6308   104.0285     0.520922   7.472720e-03
Muon          42800   247.1806   101.0302     0.521649   7.184720e-03
Muon          43200   243.3927    95.7274     0.520916   6.896720e-03
Muon          43600   250.7877   103.5190     0.516631   6.608720e-03
Muon          44000   252.0775   107.2374     0.516340   6.320720e-03
Muon          44400   252.6321   110.8098     0.519374   6.032720e-03
Muon          44800   252.9338   105.9326     0.512951   5.744720e-03
Muon          45200   244.6654    97.2384     0.516046   5.456720e-03
Muon          45600   251.0459   104.6938     0.515290   5.168720e-03
Muon          46000   245.6826    99.3235     0.518262   4.880720e-03
Muon          46400   251.6815   102.9738     0.510332   4.592720e-03
Muon          46800   253.0859   106.0448     0.512029   4.304720e-03
Muon          47200   254.2315   106.8990     0.511016   4.016720e-03
Muon          47600   253.3750   104.0464     0.510204   3.728720e-03
Muon          48000   252.8815   104.2458     0.509320   3.440720e-03
Muon          48400   259.2721   112.1149     0.506204   3.152720e-03
Muon          48800   256.0662   106.5152     0.505367   2.864720e-03
Muon          49200   257.5646   108.9286     0.505835   2.576720e-03
Muon          49600   256.8902   106.1006     0.504182   2.288720e-03
Muon          50000   259.1462   110.5333     0.505224   2.000720e-03
SGD             400   249.1564   134.1476     0.623881   4.788000e-05
SGD             800   230.9383   104.5143     0.630405   9.588000e-05
SGD            1200   264.1465   148.3134     0.605598   1.438800e-04
SGD            1600   218.9889    77.7686     0.632459   1.918800e-04
SGD            2000    10.1981     2.1553     0.657198   2.398800e-04
SGD            2400     1.8735     1.3623     0.707281   2.878800e-04
SGD            2800     2.7487     2.3128     0.886031   3.000000e-04
SGD            3200     3.3653     2.8113     1.013841   3.000000e-04
SGD            3600     3.5922     2.9120     1.188353   3.000000e-04
SGD            4000     4.1257     2.9111     0.843650   3.000000e-04
SGD            4400     3.6324     2.8320     0.909590   3.000000e-04
SGD            4800     7.8388     3.5916     0.773841   3.000000e-04
SGD            5200     3.4945     2.7507     1.180954   3.000000e-04
SGD            5600     5.8248     3.3213     0.763957   3.000000e-04
