Step 21749 (43.5%) | train: 2.9926 | val: 3.2133 | ppl: 24.9 | tok/s: 610,202 | remaining steps: 28251s
Step 21999 (44.0%) | train: 3.0100 | val: 3.2080 | ppl: 24.7 | tok/s: 612,839 | remaining steps: 28001s
Step 22249 (44.5%) | train: 3.0027 | val: 3.2131 | ppl: 24.9 | tok/s: 612,205 | remaining steps: 27751s
Step 22499 (45.0%) | train: 3.0030 | val: 3.1958 | ppl: 24.4 | tok/s: 610,438 | remaining steps: 27501s
Step 22749 (45.5%) | train: 2.9853 | val: 3.1985 | ppl: 24.5 | tok/s: 612,442 | remaining steps: 27251s
Step 22999 (46.0%) | train: 2.9938 | val: 3.1869 | ppl: 24.2 | tok/s: 611,521 | remaining steps: 27001s
Step 23249 (46.5%) | train: 2.9723 | val: 3.2181 | ppl: 25.0 | tok/s: 613,280 | remaining steps: 26751s
Step 23499 (47.0%) | train: 2.9922 | val: 3.1704 | ppl: 23.8 | tok/s: 613,798 | remaining steps: 26501s
Step 23749 (47.5%) | train: 2.9663 | val: 3.1889 | ppl: 24.3 | tok/s: 612,880 | remaining steps: 26251s
Step 23999 (48.0%) | train: 2.9868 | val: 3.1821 | ppl: 24.1 | tok/s: 609,125 | remaining steps: 26001s
Step 24249 (48.5%) | train: 2.9790 | val: 3.1992 | ppl: 24.5 | tok/s: 610,965 | remaining steps: 25751s
Step 24499 (49.0%) | train: 2.9813 | val: 3.1956 | ppl: 24.4 | tok/s: 610,945 | remaining steps: 25501s
Step 24749 (49.5%) | train: 2.9902 | val: 3.1646 | ppl: 23.7 | tok/s: 612,085 | remaining steps: 25251s
Step 24999 (50.0%) | train: 2.9749 | val: 3.1891 | ppl: 24.3 | tok/s: 612,311 | remaining steps: 25001s
Step 25249 (50.5%) | train: 2.9643 | val: 3.1828 | ppl: 24.1 | tok/s: 612,240 | remaining steps: 24751s
Step 25499 (51.0%) | train: 2.9702 | val: 3.2028 | ppl: 24.6 | tok/s: 612,121 | remaining steps: 24501s
Step 25749 (51.5%) | train: 2.9691 | val: 3.2013 | ppl: 24.6 | tok/s: 612,335 | remaining steps: 24251s
Step 25999 (52.0%) | train: 2.9561 | val: 3.1859 | ppl: 24.2 | tok/s: 609,610 | remaining steps: 24001s
